freq, amp, pha, amp_err, pha_err
2.000000000000000000e+04,7.675350500000000466e+04,-4.948008429403924993e+02,5.053877166883823406e+02,1.728288224738632906e+01
1.200000000000000000e+04,8.147163999999999942e+04,-3.298733372793103058e+02,6.021092214059577827e+02,1.092999312928593270e+01
6.000000000000000000e+03,8.540027999999999884e+04,-1.936879137400707407e+02,7.181793283186518693e+02,5.739715903511978468e+00
3.000000000000000000e+03,8.794875500000000466e+04,-1.197758379119888588e+02,7.598641359271082365e+02,2.660451897686641587e+00
1.500000000000000000e+03,8.996050500000000466e+04,-8.020747844002541171e+01,7.875785027474313438e+02,1.552534975796263872e+00
7.500000000000000000e+02,9.177063000000000466e+04,-5.735850053754165856e+01,8.055056926649517663e+02,1.354581480971702723e+00
3.750000000000000000e+02,9.332398000000001048e+04,-4.226052984316469718e+01,7.797628490586996577e+02,4.624355265962961647e-01
1.889000000000000057e+02,9.447903500000000349e+04,-3.192556267748028631e+01,8.685948047384117672e+02,1.510702978422826526e+00
9.375000000000000000e+01,9.547726999999998952e+04,-2.300780286441525035e+01,8.080206816945318451e+02,6.285545244532338982e-01
4.687500000000000000e+01,9.615638000000000466e+04,-1.782417498599209082e+01,8.259485181617677654e+02,5.560641508095736096e-01
2.343750000000000000e+01,9.667407000000000698e+04,-1.437802237792928928e+01,8.058926720733315960e+02,2.803358120295716960e-01
1.171875000000000000e+01,9.715633000000000175e+04,-1.281857069127235427e+01,8.026468042532133040e+02,1.948032833811597642e-01
5.859375000000000000e+00,9.765259500000000116e+04,-1.233424182384392864e+01,8.118627279070343548e+02,2.487641968195241082e-01
2.929686999999999930e+00,9.815962500000000000e+04,-1.218850683130239965e+01,8.082346205514019175e+02,1.627513091890874786e-01
1.464844000000000035e+00,9.869110499999999593e+04,-1.242412628032163369e+01,8.029698622217071033e+02,1.592761505314339854e-01
7.324220000000000175e-01,9.924825500000000466e+04,-1.247823148713345809e+01,8.018257297948417772e+02,2.494753950404840770e-01
3.662110000000000087e-01,9.983290499999999884e+04,-1.207418776529677196e+01,7.994910055353868756e+02,3.295986776469178592e-01
1.831049999999999900e-01,1.004150700000000070e+05,-1.152615438017055105e+01,7.781453799143257584e+02,3.725583270346288778e-01
9.155299999999999550e-02,1.010269500000000116e+05,-1.100779159232823545e+01,7.740920942916104650e+02,5.005047468507307640e-01
4.577599999999999725e-02,1.016080500000000029e+05,-1.006793179012928974e+01,7.359879339754859302e+02,6.105481374359120750e-01
2.288799999999999862e-02,1.022587500000000000e+05,-9.340129492047655191e+00,6.585682501693560198e+02,7.857522941436654307e-01
1.144399999999999931e-02,1.030648000000000029e+05,-8.481427500066446967e+00,5.797385154388459796e+02,1.231202634226894466e+00
