Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
R0, 1.00480706436, 0.0037728502334, 0.000221392471915, 0.997015914732, 1.01171942711, 0.997450298223, 1.00229467002, 1.00482079873, 1.00715574375, 1.01231115044
a_0, 0.00740693116376, 0.000176350143811, 1.14870422584e-05, 0.00705142229519, 0.00773704276219, 0.00706141660168, 0.00728769727668, 0.00740620159927, 0.00752319708772, 0.00774801961314
a_1, -0.00327442538002, 0.00031890096326, 1.18580684781e-05, -0.00388924411357, -0.00262590214301, -0.00392050470249, -0.0034747440943, -0.00327364857157, -0.00305674877515, -0.00263933711707
a_2, -0.00192442901479, 0.000167758889632, 1.01446177903e-05, -0.00223404141718, -0.00158857491495, -0.0022552461642, -0.00203199488976, -0.00192416011684, -0.00181231094895, -0.00159538696082
a_3, 0.00060814941756, 0.000159605313063, 6.25042556772e-06, 0.000286209321282, 0.000909047332998, 0.000286683944623, 0.000501532262294, 0.000613507584025, 0.000716945469942, 0.000916838171284
a_4, 0.000267661055662, 2.90606230125e-05, 1.17028485662e-06, 0.000207619561976, 0.000321094778852, 0.000209370707091, 0.000248161809916, 0.000267534199078, 0.000287379737535, 0.000322897256429
total_m, 0.124186925184, 0.00176199665649, 0.000108773681602, 0.120828648696, 0.127701573905, 0.120721811741, 0.123070134702, 0.124132021764, 0.12536765513, 0.127661375499
m__0, 0.0669378152882, 0.00264932194803, 0.000134245211999, 0.0615751364876, 0.0718633466535, 0.0617030655912, 0.0651935134996, 0.066898084035, 0.0687040808861, 0.0723064389575
m__1, 0.0536144911459, 0.00189923814968, 9.84849407812e-05, 0.0499147485395, 0.0573458536991, 0.049921073627, 0.0523850304591, 0.0535703804289, 0.0548871643071, 0.0574020660378
m__2, 0.0423975982156, 0.00130293582181, 6.93699560704e-05, 0.0397797538071, 0.0449289442228, 0.0398315843568, 0.0415499844821, 0.0423602992662, 0.0432569116686, 0.0450986894101
m__3, 0.0330747903326, 0.000844660637924, 4.6173569388e-05, 0.0312152891726, 0.0345877099091, 0.0313714955375, 0.0325299253638, 0.0330644487888, 0.0336428351297, 0.0348567728099
m__4, 0.0254439995169, 0.000514105738052, 2.82876984367e-05, 0.0244180114426, 0.0264809361688, 0.0244180114426, 0.0251147594984, 0.0254375535095, 0.0257769463478, 0.0264961649639
m__5, 0.019313435973, 0.000313004576469, 1.54225091026e-05, 0.0187196876869, 0.0199577728637, 0.0187047958798, 0.0191050510551, 0.019318669823, 0.0195143934448, 0.0199573472225
m__6, 0.0145015880899, 0.000247091733771, 8.49287632933e-06, 0.0139864538123, 0.0149538077136, 0.014000817731, 0.0143385926586, 0.0145061421555, 0.0146613240353, 0.0149920246752
m__7, 0.0108372224413, 0.000261124969919, 8.80095360122e-06, 0.0102885286676, 0.0113066971193, 0.0103103466371, 0.0106535536701, 0.0108433165456, 0.0110069514054, 0.0113471252618
m__8, 0.00815938378509, 0.000280015150841, 1.13794075783e-05, 0.00759025835937, 0.00867591308381, 0.00760087833963, 0.00797252040366, 0.00816823642875, 0.00833867364519, 0.00869188444932
m__9, 0.00631739506403, 0.000278566585235, 1.30336792793e-05, 0.00576936979238, 0.00683721296549, 0.00576993836211, 0.00612439223706, 0.00632853631984, 0.00650017057609, 0.0068414617431
m__10, 0.00517085740528, 0.000256778382604, 1.34217816731e-05, 0.00469018596952, 0.00568254465364, 0.00466271865056, 0.00499775520676, 0.00518004014046, 0.00533806585576, 0.00565910825344
m__11, 0.00458965012053, 0.000222351968274, 1.27721940974e-05, 0.00418493616812, 0.00505941813983, 0.00414118786222, 0.00444290206793, 0.00459498767729, 0.00472740964665, 0.00503507576495
m__12, 0.00445393070606, 0.000186480156152, 1.14226443078e-05, 0.00412186032529, 0.00485878701767, 0.00409175269356, 0.00433233034288, 0.00445793982511, 0.0045705178552, 0.00484071454559
m__13, 0.00465413484263, 0.000162761936527, 9.74296713867e-06, 0.00431115511144, 0.00495172372521, 0.00432773199345, 0.00454526924227, 0.004652111544, 0.00476786056767, 0.00498761439478
m__14, 0.00509097639558, 0.000161514404444, 8.13630647971e-06, 0.00478545324102, 0.00541841229199, 0.00477829169381, 0.00498643055079, 0.00508640823866, 0.00519809194177, 0.00541841229199
m__15, 0.00567544741477, 0.000179591991676, 7.03545230132e-06, 0.00533250524299, 0.00602893827948, 0.00532278092212, 0.00556050223969, 0.00566890799755, 0.00578989356114, 0.00602604240766
m__16, 0.0063288181346, 0.000204515316361, 6.75937706701e-06, 0.00590760160272, 0.00671204124108, 0.00591301939814, 0.00619724538335, 0.00632488776255, 0.00647103450632, 0.00672447297917
m__17, 0.006982636974, 0.000225864331235, 7.24446869337e-06, 0.00651185252553, 0.00740073993485, 0.00651853787883, 0.00683573086141, 0.00697933436289, 0.00714001304568, 0.0074343872551
m__18, 0.00757873053645, 0.000237857888988, 8.12181444426e-06, 0.00708121463462, 0.00802853771395, 0.00709519705424, 0.00743187345667, 0.00757909475013, 0.00773592973427, 0.00805316748905
m__19, 0.00806920360997, 0.000238130352818, 9.05842280407e-06, 0.00756081424301, 0.00850643259288, 0.00759403451762, 0.00791680057942, 0.00806514330863, 0.0082261325907, 0.00854628078546
m__20, 0.00841643916709, 0.000226873245403, 9.8775976437e-06, 0.00793643609162, 0.00882815715985, 0.00795997169581, 0.00827758321648, 0.00841500672475, 0.00856345212062, 0.00886900114983
m__21, 0.00859309836492, 0.000206722171193, 1.0520550346e-05, 0.00818703306684, 0.00899272160764, 0.00819626769066, 0.00845389891718, 0.00859156925118, 0.00873515697561, 0.00900671527556
m__22, 0.00858212054507, 0.000183226017749, 1.09921781843e-05, 0.00824658030956, 0.00895326884089, 0.00823298352687, 0.00845395830476, 0.00858038399674, 0.0087081520906, 0.00894549360002
m__23, 0.0083767232337, 0.000165257063259, 1.1316090495e-05, 0.00806856154232, 0.00870884752828, 0.00805160751267, 0.00826063291062, 0.00837916883264, 0.00849039448951, 0.00870038015036
m__24, 0.00798040214152, 0.000162336510767, 1.14959523848e-05, 0.00766223740176, 0.00828539753937, 0.00766223740176, 0.00786957012673, 0.00797479708109, 0.00809144651046, 0.00828853029485
m__25, 0.00740693116376, 0.000176350143811, 1.14870422584e-05, 0.00705142229519, 0.00773704276219, 0.00706141660168, 0.00728769727668, 0.00740620159927, 0.00752319708772, 0.00774801961314
m__26, 0.00668036238019, 0.000198248271682, 1.11900680439e-05, 0.00633455373603, 0.00708736459328, 0.00629890028348, 0.00654779415435, 0.00667196284669, 0.00681081835333, 0.00706550443581
m__27, 0.00583502605513, 0.000215263526073, 1.04875504366e-05, 0.0054384991637, 0.00626261244686, 0.00541544609103, 0.00569108397763, 0.00583617226069, 0.0059872623358, 0.00625655791115
m__28, 0.00491553063742, 0.00021660598206, 9.38173974027e-06, 0.00449998238268, 0.00534773144079, 0.00448531334726, 0.00477688704547, 0.00491031784927, 0.00505824779947, 0.0053458881108
m__29, 0.00397676276046, 0.000197163874915, 8.44694782435e-06, 0.00360019173908, 0.00437653983394, 0.00357612999713, 0.00384745641812, 0.00397039526114, 0.0041157403201, 0.00436561469734
m__30, 0.00308388724217, 0.000172438903445, 9.65066494151e-06, 0.00272635651035, 0.00339156179806, 0.00274400617089, 0.00296553884653, 0.00308727577558, 0.00320570269431, 0.00341864910296
m__31, 0.002312347085, 0.000216571833958, 1.49623117514e-05, 0.0018555020307, 0.00267693214436, 0.0018868866724, 0.00216660078945, 0.00231733826237, 0.00246157502899, 0.00272383368508
