Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
log_noise_rho, 0.008145497350487824, 0.004512442848783871, 0.00010684464796339416, -0.0007229403082134808, 0.016868203030904465, -0.000632131158469291, 0.005165456575244725, 0.00803955414624865, 0.01115239640414309, 0.017073321957340123
log_noise_m, 0.0001064920301214059, 0.013357238972854197, 0.0002468992952084681, -0.02639127035490729, 0.02576187420001357, -0.026808957572867453, -0.008787027296231762, 0.00042838796576747523, 0.009146443728490973, 0.025650076941227968
log_noise_tau, -0.0039771863777253525, 0.036403833355916584, 0.0006710855539882922, -0.07287693773015032, 0.06890039991127271, -0.07532444554787183, -0.028693931449743238, -0.003127226692088505, 0.020447879277819096, 0.06670999658134108
log_m_i_0, -1.2289734918406425, 0.013357238972854188, 0.0002468992952084702, -1.2554712542256845, -1.2033181096707637, -1.2558889414436447, -1.2378670111670091, -1.22865159590501, -1.2199335401422864, -1.2034299069295493
log_m_i_1, -1.231557511009463, 0.013357238972854284, 0.0002468992952084696, -1.2580552733944894, -1.2059021288395686, -1.2584729606124496, -1.240451030335814, -1.2312356150738148, -1.2225175593110913, -1.2060139260983542
log_m_i_2, -1.237002800694101, 0.013357238972854096, 0.0002468992952084695, -1.263500563079132, -1.2113474185242112, -1.2639182502970923, -1.2458963200204567, -1.2366809047584575, -1.227962848995734, -1.2114592157829969
log_m_i_3, -1.245590675189183, 0.013357238972854138, 0.0002468992952084673, -1.272088437574207, -1.2199352930192862, -1.2725061247921672, -1.2544841945155316, -1.2452687792535324, -1.2365507234908089, -1.2200470902780718
log_m_i_4, -1.2575981495946842, 0.013357238972854213, 0.0002468992952084671, -1.2840959119797193, -1.2319427674247985, -1.2845135991976795, -1.266491668921044, -1.2572762536590447, -1.2485581978963212, -1.232054564683584
log_m_i_5, -1.27328733875145, 0.013357238972854162, 0.00024689929520846636, -1.2997851011364983, -1.2476319565815774, -1.3002027883544585, -1.282180858077823, -1.2729654428158237, -1.2642473870531001, -1.247743753840363
log_m_i_6, -1.2928926538242742, 0.013357238972854209, 0.0002468992952084659, -1.3193904162092862, -1.2672372716543654, -1.3198081034272464, -1.3017861731506108, -1.2925707578886116, -1.283852702125888, -1.267349068913151
log_m_i_7, -1.3166060700341515, 0.013357238972854131, 0.00024689929520846983, -1.3431038324191833, -1.2909506878642625, -1.3435215196371435, -1.325499589360508, -1.3162841740985087, -1.3075661183357852, -1.291062485123048
log_m_i_8, -1.344561034497596, 0.01335723897285419, 0.0002468992952084691, -1.3710587968826211, -1.3189056523277003, -1.3714764841005813, -1.3534545538239457, -1.3442391385619465, -1.335521082799223, -1.319017449586486
log_m_i_9, -1.3768159106271163, 0.013357238972854204, 0.0002468992952084698, -1.403313673012152, -1.3511605284572312, -1.4037313602301122, -1.3857094299534767, -1.3764940146914775, -1.367775958928754, -1.3512723257160169
log_m_i_10, -1.413338169246203, 0.013357238972854213, 0.0002468992952084681, -1.4398359316312153, -1.3876827870762944, -1.4402536188491755, -1.42223168857254, -1.4130162733105407, -1.4042982175478171, -1.38779458433508
log_m_i_11, -1.4539907746931193, 0.013357238972854193, 0.0002468992952084676, -1.4804885370781353, -1.4283353925232145, -1.4809062242960955, -1.46288429401946, -1.4536688787574608, -1.4449508229947372, -1.4284471897820001
log_m_i_12, -1.4985223097666445, 0.013357238972854278, 0.0002468992952084705, -1.5250200721516651, -1.4728669275967443, -1.5254377593696253, -1.5074158290929898, -1.4982004138309906, -1.489482358068267, -1.47297872485553
log_m_i_13, -1.5465622816617353, 0.01335723897285414, 0.00024689929520846875, -1.5730600440467788, -1.520906899491858, -1.573477731264739, -1.5554558009881034, -1.5462403857261042, -1.5375223299633807, -1.5210186967506436
log_m_i_14, -1.5976227293883651, 0.01335723897285418, 0.0002468992952084692, -1.6241204917733887, -1.5719673472184679, -1.624538178991349, -1.6065162487147133, -1.5973008334527141, -1.5885827776899906, -1.5720791444772535
log_m_i_15, -1.651106735471931, 0.013357238972854105, 0.0002468992952084714, -1.677604497856985, -1.6254513533020643, -1.6780221850749453, -1.6600002547983097, -1.6507848395363105, -1.642066783773587, -1.6255631505608499
log_m_i_16, -1.7063238026124168, 0.013357238972854188, 0.00024689929520847054, -1.7328215649974392, -1.6806684204425184, -1.7332392522153994, -1.7152173219387639, -1.7060019066767647, -1.697283850914041, -1.680780217701304
log_m_i_17, -1.7625113927239748, 0.013357238972854187, 0.00024689929520846994, -1.7890091551089966, -1.7368560105540758, -1.7894268423269568, -1.7714049120503212, -1.762189496788322, -1.7534714410255985, -1.7369678078128614
log_m_i_18, -1.8188613478977804, 0.013357238972854216, 0.00024689929520847027, -1.845359110282802, -1.7932059657278812, -1.8457767975007622, -1.8277548672241266, -1.8185394519621274, -1.8098213961994039, -1.7933177629866668
log_m_i_19, -1.8745495012919033, 0.01335723897285428, 0.00024689929520846897, -1.901047263676931, -1.8488941191220103, -1.9014649508948913, -1.8834430206182557, -1.8742276053562565, -1.865509549593533, -1.849005916380796
log_m_i_20, -1.9287665804159995, 0.013357238972854204, 0.00024689929520846864, -1.9552643428010352, -1.9031111982461144, -1.9556820300189954, -1.9376600997423599, -1.9284446844803607, -1.919726628717637, -1.9032229955049
log_m_i_21, -1.9807485063947352, 0.013357238972854187, 0.00024689929520846956, -2.0072462687797703, -1.9550931242248493, -2.0076639559977303, -1.9896420257210947, -1.9804266104590955, -1.971708554696372, -1.955204921483635
log_m_i_22, -2.0298043759166235, 0.013357238972854157, 0.00024689929520846636, -2.056302138301673, -2.0041489937467523, -2.0567198255196333, -2.0386978952429975, -2.0294824799809983, -2.0207644242182745, -2.004260791005538
log_m_i_23, -2.0753407400918, 0.01335723897285418, 0.00024689929520846967, -2.1018385024768085, -2.049685357921888, -2.102256189694769, -2.084234259418133, -2.075018844156134, -2.06630078839341, -2.0497971551806735
log_m_i_24, -2.1168812198415488, 0.013357238972854188, 0.00024689929520846734, -2.1433789822265585, -2.091225837671638, -2.143796669444519, -2.125774739167883, -2.116559323905884, -2.10784126814316, -2.0913376349304236
log_m_i_25, -2.154080965719679, 0.013357238972854197, 0.0002468992952084702, -2.1805787281046753, -2.1284255835497548, -2.1809964153226358, -2.162974485046, -2.153759069784001, -2.145041014021277, -2.1285373808085404
log_m_i_26, -2.18673592299709, 0.013357238972854145, 0.00024689929520846967, -2.2132336853821206, -2.1610805408272, -2.213651372600081, -2.1956294423234453, -2.186414027061446, -2.1776959712987223, -2.1611923380859857
log_m_i_27, -2.2147872487013522, 0.013357238972854188, 0.00024689929520846636, -2.241285011086374, -2.1891318665314534, -2.2417026983043344, -2.2236807680276987, -2.2144653527656994, -2.2057472970029757, -2.189243663790239
