Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
R0, 0.9899855969134902, 0.007176239946310836, 0.0006033759299122282, 0.9760423013291657, 1.0034332818852976, 0.9770271691086445, 0.9846990555910945, 0.9900902261061472, 0.9941722679442239, 1.00565779707264
a_0, 0.00016281575407582524, 3.856620435416413e-05, 3.649464422534313e-06, 9.70733403463763e-05, 0.00022851735327662916, 9.365104656104207e-05, 0.00013285390247701645, 0.00016303877903142943, 0.0001948713692343466, 0.0002270522968056736
a_1, -0.00034447285744127875, 0.0002522515515680883, 2.3645349919038313e-05, -0.0008411962681613529, 5.5609774868996565e-05, -0.0008065132357367834, -0.0005601231885936887, -0.00033474165047934584, -0.0001563153001246325, 0.00014118846978984056
a_2, -0.003758706912386355, 0.0003273207233235185, 2.7914408449768044e-05, -0.004385906346466927, -0.0032009076507252764, -0.004385906346466927, -0.003993675482606834, -0.00376425903872562, -0.0034763228044530424, -0.0032009076507252764
a_3, -0.001715733038895146, 0.0005136807761255762, 4.8857853731502685e-05, -0.0025341498545560846, -0.0006494149417133559, -0.0027455200960783454, -0.0020976444542359605, -0.0016941420463451975, -0.0013441591976195621, -0.0008310185998296953
a_4, 0.011206479344226502, 0.0003773214107062867, 3.409412726607629e-05, 0.010575306763850198, 0.011941182894711565, 0.010575306763850198, 0.010912662622704291, 0.011215723938165487, 0.011482690848707046, 0.011955764082291804
m_i_0, 0.171602783221262, 0.00854975158465703, 0.0007746098388689703, 0.15665452010754805, 0.18721080284033215, 0.15665452010754805, 0.16485896076330736, 0.17124264068376407, 0.17780953338826389, 0.1872399799889888
m_i_1, 0.15062982761614319, 0.007003708063000333, 0.0006293822223296916, 0.1385120862936025, 0.1638871199959633, 0.13836863431330998, 0.1449838247856687, 0.15037454073703196, 0.15556789660958537, 0.16385435498247233
m_i_2, 0.13155249549137607, 0.005663911403998941, 0.0005035723833258042, 0.12142416949491358, 0.14204687049890738, 0.1215220424529066, 0.12702857977323548, 0.13147318390555196, 0.13558619364134655, 0.14265017556249251
m_i_3, 0.11426392373648635, 0.00451465059266657, 0.00039567300551400725, 0.10631562794166519, 0.12270243582007843, 0.10641699098658708, 0.11077961868469403, 0.11417826590526897, 0.11732326723950842, 0.12347409226729797
m_i_4, 0.09866002564896895, 0.003541355457314398, 0.00030428507678805416, 0.0924252830759065, 0.10534450164345323, 0.09245616285304498, 0.0960601201607089, 0.09856005794390221, 0.1011556607756568, 0.1062052647845965
m_i_5, 0.08463949093440808, 0.0027308750193359467, 0.0002281556562767754, 0.0798092912532934, 0.08995677645899161, 0.07996650161562119, 0.08269556299970297, 0.08444752985917645, 0.08667037272664552, 0.09029398729534371
m_i_6, 0.07210378570643408, 0.0020718910900367803, 0.00016625385871369832, 0.06857651038276188, 0.07642758901018437, 0.06857651038276188, 0.07061301871286675, 0.07199359056906189, 0.07345088676233817, 0.07646522618057394
m_i_7, 0.06095715248672591, 0.001555370633512111, 0.00011792112637373561, 0.058214310299535985, 0.0642335135077673, 0.058214310299535985, 0.05986033052831148, 0.06091634650091661, 0.06186555775803672, 0.06438381805398498
m_i_8, 0.051106610205007896, 0.0011743617097612034, 8.310165001857684e-05, 0.04910923104778556, 0.05368224352952588, 0.04900906606581976, 0.050273774261448856, 0.051102414313031724, 0.051784080203076, 0.053590139743093984
m_i_9, 0.04246195419904467, 0.0009208515098456057, 6.222487421321218e-05, 0.041024598661422135, 0.04452082575494551, 0.04081740865125487, 0.041804923772446025, 0.042411946469264765, 0.04310416781315015, 0.04447379368446103
m_i_10, 0.034935756214652905, 0.0007771912724147722, 5.419783225953303e-05, 0.03363153101950479, 0.03639561824711861, 0.03363153101950479, 0.034404726218473514, 0.03489090707997797, 0.035525113020539865, 0.03646008282289498
m_i_11, 0.028443364405707463, 0.0007094234843398788, 5.398883972356922e-05, 0.027000311359735796, 0.029595389678135287, 0.027160435703294954, 0.027944752402261894, 0.028477557217914937, 0.029004790645882177, 0.029890207647908583
m_i_12, 0.02290290333410808, 0.000677214056851263, 5.577320448443941e-05, 0.021592042437759102, 0.024054941392862135, 0.021688133641453958, 0.02240646271381783, 0.022907642813096644, 0.023386734600748003, 0.024245593197473728
m_i_13, 0.018235273969821084, 0.0006504373343892151, 5.636269150105171e-05, 0.01703997630084787, 0.01945788948787568, 0.01703997630084787, 0.01782999897161702, 0.018201102141089175, 0.01873909992674575, 0.0195130346468448
m_i_14, 0.014364153690852787, 0.0006136321617638245, 5.470497479948847e-05, 0.013308238680691151, 0.015522237317328602, 0.013204096547620467, 0.013962295345323719, 0.014351561900395203, 0.014824862850296447, 0.015503879296367552
m_i_15, 0.011215996283258457, 0.0005617898507407204, 5.074669670043859e-05, 0.010247892288865645, 0.012265491968081375, 0.01015539627172217, 0.010811945990438384, 0.011197998731160591, 0.011668233817598026, 0.01223594732767899
m_i_16, 0.008720031941139702, 0.0004958115407017125, 4.4852401130052884e-05, 0.007944808659623086, 0.009682046204574008, 0.007784272462107502, 0.008355254146088509, 0.008709823414109655, 0.009098599888264029, 0.009621475435736625
m_i_17, 0.006808267266649172, 0.00041992099706808283, 3.757779509686458e-05, 0.0061197341586158175, 0.0076049892389892185, 0.00597897479159081, 0.006474517141791432, 0.006797620672675527, 0.007141866405475369, 0.007572736956376799
m_i_18, 0.005415485269980747, 0.0003408240497622956, 2.9623863445384274e-05, 0.004834720374781381, 0.006068846147963742, 0.004753527242772287, 0.0051420373767450565, 0.005416047410519493, 0.0056776642911343465, 0.006025259175573604
m_i_19, 0.004479245369381662, 0.0002684953690780021, 2.1967638945243165e-05, 0.003983392295583227, 0.0049856729129521575, 0.003957830596054696, 0.0042866318675257595, 0.004489827034191356, 0.004686240781298105, 0.004983348581827698
m_i_20, 0.003939883391143959, 0.00021820487454826665, 1.63279326291046e-05, 0.0035254502593001225, 0.0043546575961506614, 0.0035254502593001225, 0.0037748506260591305, 0.003940496674651557, 0.0040680890117201374, 0.004357387998668655
m_i_21, 0.003740511569607593, 0.0002068395840430361, 1.5295693814641395e-05, 0.003310286553330967, 0.004119629796305994, 0.003340490357490667, 0.003589327590956556, 0.0037321082629095765, 0.003880502122014371, 0.0041702955986900065
m_i_22, 0.003827018547160252, 0.00023379328636741474, 1.894440271224461e-05, 0.0034053558057659476, 0.004311758541546482, 0.003375179335619263, 0.003671371253555775, 0.0038179023733902672, 0.003991208649966313, 0.004292206553371694
m_i_23, 0.004148069374236905, 0.00027956626376506434, 2.4373760686239623e-05, 0.0036701764574423625, 0.00474291548432018, 0.003635860062828223, 0.003953977957942948, 0.004147441745454257, 0.004340733767153159, 0.00474291548432018
m_i_24, 0.004655105509319644, 0.0003272258459785311, 2.967833267015236e-05, 0.003963375569799896, 0.005218474062130958, 0.004069803047822572, 0.0044172973789428, 0.004654752902985013, 0.0048845322831470445, 0.005356545093520562
m_i_25, 0.005302344818939484, 0.0003676516528870381, 3.4047758806804555e-05, 0.004692407718112789, 0.006084060124340705, 0.004637641142497871, 0.005018352405158714, 0.005293001039023226, 0.005542159734438859, 0.006084060124340705
m_i_26, 0.006046781577672931, 0.0003963454543570272, 3.711880220390391e-05, 0.005394381256393536, 0.006880079433530064, 0.005358217844418875, 0.005746682950843601, 0.006021901134165128, 0.006316217725540785, 0.006880079433530064
m_i_27, 0.006848186468145598, 0.0004112951950746805, 3.8734489418464976e-05, 0.006017327655426244, 0.007520880995434059, 0.006154805701166467, 0.006532224493478846, 0.0068216643608788145, 0.007142572135971902, 0.007702875991219685
