Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
log_noise_rho, -0.000131648402056, 0.00467198510161, 0.00104468762771, -0.008006163117292117, 0.010355758153772224, -0.00800616311729, -0.00252915889895, -0.000246269492312, 0.00346745100823, 0.0103557581538
log_noise_tau, -0.0152492625264, 0.0365986428259, 0.0081837053243, -0.08502251633846575, 0.048754339157548676, -0.0850225163385, -0.0435491490725, -0.0107172489273, 0.017155135755, 0.0487543391575
log_noise_m, 0.00037274909601, 0.00822948375385, 0.00184016850933, -0.014181697006345823, 0.016616477704966683, -0.0141816970063, -0.00476788767425, -0.00239051067644, 0.00476386850349, 0.016616477705
log_tau_i_0, -6.14622396126, 0.0365986428259, 0.0081837053243, -6.21599721506815, -6.082220359572135, -6.21599721507, -6.1745238478, -6.14169194766, -6.11381956297, -6.08222035957
log_tau_i_1, -6.09614318581, 0.0365986428259, 0.0081837053243, -6.165916439623885, -6.03213958412787, -6.16591643962, -6.12444307236, -6.09161117221, -6.06373878753, -6.03213958413
log_tau_i_2, -6.04606241037, 0.0365986428259, 0.0081837053243, -6.11583566417962, -5.982058808683606, -6.11583566418, -6.07436229691, -6.04153039677, -6.01365801209, -5.98205880868
log_tau_i_3, -5.99598163492, 0.0365986428259, 0.0081837053243, -6.065754888735356, -5.931978033239341, -6.06575488874, -6.02428152147, -5.99144962132, -5.96357723664, -5.93197803324
log_tau_i_4, -5.94590085948, 0.0365986428259, 0.0081837053243, -6.015674113291087, -5.881897257795073, -6.01567411329, -5.97420074603, -5.94136884588, -5.9134964612, -5.8818972578
log_tau_i_5, -5.89582008403, 0.0365986428259, 0.0081837053243, -5.965593337846823, -5.831816482350808, -5.96559333785, -5.92411997058, -5.89128807044, -5.86341568575, -5.83181648235
log_tau_i_6, -5.84573930859, 0.0365986428259, 0.0081837053243, -5.915512562402558, -5.781735706906543, -5.9155125624, -5.87403919514, -5.84120729499, -5.81333491031, -5.78173570691
