Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
R0, 1.2080573910211956, 0.001489917174854669, 0.00033315560838194803, 1.2063348719517188, 1.2097544752954619, 1.2063348719517188, 1.2063348719517188, 1.208997623319591, 1.2095283061525162, 1.2097544752954619
a_0, 0.00013566619569043562, 6.320439842648866e-06, 1.4132933135860937e-06, 0.00012105011442283724, 0.0001501008205159703, 0.00012105011442283724, 0.0001326941550362242, 0.00013656636123763252, 0.00014084962401607993, 0.0001501008205159703
a_1, 0.0006761793668945064, 1.3453034198490041e-05, 3.008189897145313e-06, 0.0006539747634721662, 0.000700365167749452, 0.0006539747634721662, 0.0006719613174903438, 0.0006719613174903438, 0.0006853671607303168, 0.000700365167749452
a_2, 0.0014756658144613626, 8.597522659877923e-05, 1.9224645105581836e-05, 0.001189541664460584, 0.0016310548730419127, 0.001189541664460584, 0.0014259984138081088, 0.0015016435928129675, 0.0015358946727775133, 0.0016310548730419127
a_3, 0.0009411352149470389, 4.61779505631452e-05, 1.0325703652081738e-05, 0.0008080854247002768, 0.0009929319858194006, 0.0008080854247002768, 0.0009084725928446907, 0.0009554733087413511, 0.0009929319858194006, 0.0009929319858194006
a_4, 0.0028277945549831604, 0.00023582021117608847, 5.273100226580894e-05, 0.002549032816421952, 0.0031122585938538456, 0.002549032816421952, 0.002549032816421952, 0.0030014622841475934, 0.0030515853657530814, 0.0031122585938538456
log_mean_tau, -4.514564792348148, 0.034165505675597244, 0.007639639317629031, -4.594845236741562, -4.43047652784745, -4.594845236741562, -4.53811055592079, -4.512853971339707, -4.510548475549004, -4.43047652784745
m_i_0, 0.16235248596688096, 0.009238948640643825, 0.0020658917201108865, 0.13997836917292653, 0.18581829591463508, 0.13997836917292653, 0.15751995367532215, 0.15897328222457066, 0.16966521062454681, 0.18581829591463508
m_i_1, 0.14369687382244967, 0.00810050655978562, 0.0018113283319863612, 0.1240598830579809, 0.16423536733748204, 0.1240598830579809, 0.13923113177079172, 0.14078340498762112, 0.15011555183471625, 0.16423536733748204
m_i_2, 0.12675999001559835, 0.007064829152874146, 0.0015797438235248843, 0.10961737332080843, 0.14463033342601792, 0.10961737332080843, 0.12264592100856174, 0.12426623055915755, 0.13236610250419323, 0.14463033342601792
m_i_3, 0.11143130452562622, 0.006125914598630165, 0.0013697961466895392, 0.09655434117639419, 0.12687804241047543, 0.09655434117639419, 0.10765379037098231, 0.10931404420639945, 0.11630149065351368, 0.12687804241047543
m_i_4, 0.09760399301774247, 0.005277936916021803, 0.001180182572518035, 0.08477759429127558, 0.11085744248491948, 0.08477759429127558, 0.09414793911409487, 0.09582275570197885, 0.10181019157308352, 0.11085744248491948
m_i_5, 0.0851749368430659, 0.004515247273998676, 0.0010096399839881656, 0.07419724678354284, 0.09645158180724776, 0.07419724678354284, 0.08202529676763204, 0.08369189932394087, 0.08878452782317939, 0.09645158180724776
m_i_6, 0.07404472303862526, 0.0038323759404375094, 0.0008569453118152958, 0.06472671922283899, 0.08354760849919048, 0.06472671922283899, 0.07118652313501792, 0.07282463385574349, 0.0771206692339482, 0.08354760849919048
m_i_7, 0.06411764432735874, 0.003224035247380667, 0.0007209161974998519, 0.05628273863035957, 0.07203677064631013, 0.05628273863035957, 0.061721491609458765, 0.06312774258625735, 0.06671863290540708, 0.07203677064631013
m_i_8, 0.055301699118114556, 0.0026851242175740257, 0.0006004120278526457, 0.04878533847885302, 0.06181441629800209, 0.04878533847885302, 0.05334156669591863, 0.054511633309766216, 0.05748228320744382, 0.06181441629800209
m_i_9, 0.04750859150565051, 0.002210735992651571, 0.0004943355959874388, 0.04215785869262037, 0.05277999346749401, 0.04215785869262037, 0.04592823073954255, 0.04689033832596663, 0.04931933177981643, 0.05277999346749401
m_i_10, 0.040653731270634236, 0.0017961701540056974, 0.00040163585635130054, 0.03632694564751537, 0.04483705013184612, 0.03632694564751537, 0.039401479162331846, 0.04018151443996798, 0.04214133753215333, 0.04483705013184612
m_i_11, 0.03465623387964305, 0.0014369539260920263, 0.00032131266592769794, 0.03122255217094448, 0.037893234231951234, 0.03122255217094448, 0.033684830330906974, 0.03430644296229251, 0.03586370664395332, 0.037893234231951234
m_i_12, 0.02943892048516409, 0.001128880198623245, 0.00025242528625750405, 0.026777937541866897, 0.03186029367253468, 0.026777937541866897, 0.02870532555650742, 0.029190029708875444, 0.030405692564585682, 0.03186029367253468
m_i_13, 0.024928317925594152, 0.0008680787897242838, 0.00019410831836492442, 0.02292966749079444, 0.02665407632215425, 0.02292966749079444, 0.02439352909499169, 0.02476080500106471, 0.0256903960132899, 0.02665407632215425
m_i_14, 0.021054658725239872, 0.0006511557794008353, 0.00014560285866821248, 0.019617614199791755, 0.022194530013200372, 0.019617614199791755, 0.020683528146837455, 0.020950923665621297, 0.021644764979176043, 0.022194530013200372
m_i_15, 0.017751881094317537, 0.00047547251198377016, 0.00010631888582282935, 0.01678495630247604, 0.01840570254189588, 0.01678495630247604, 0.017512932857141315, 0.01769616503471887, 0.018199594721224385, 0.01840570254189588
