freq, amp, pha, amp_err, pha_err
6.000000000000000000e+03,1.526749500000000116e+05,-3.424030559793775979e+02,3.667786275871958424e+03,9.586029970975175729e+00
3.000000000000000000e+03,1.636509500000000116e+05,-2.175657632366051359e+02,4.010279083654349051e+03,5.658736057826864396e+00
1.500000000000000000e+03,1.716135499999999884e+05,-1.462734266157667662e+02,4.373100912913379034e+03,4.327191749773929175e+00
7.500000000000000000e+02,1.782244500000000116e+05,-1.035355492221816434e+02,4.735755100772975311e+03,3.563802539407618042e+00
3.750000000000000000e+02,1.837083499999999767e+05,-7.425590569072475944e+01,5.052585483517331340e+03,2.352705131585055121e+00
1.889000000000000057e+02,1.874090499999999884e+05,-5.126119279569946485e+01,5.571033386946623068e+03,3.136505937030213076e+00
9.375000000000000000e+01,1.902712500000000000e+05,-3.818954936288793078e+01,5.332353135587009092e+03,1.119404135011822010e+00
4.687500000000000000e+01,1.923272500000000000e+05,-3.021252201664784209e+01,5.365040816186901793e+03,1.067477560560663452e+00
2.343750000000000000e+01,1.941743499999999767e+05,-2.915747048381727069e+01,5.134620537773682372e+03,3.231888645782456937e+00
1.171875000000000000e+01,1.961122000000000116e+05,-2.900039085113778015e+01,4.956955207753853756e+03,3.413803859825945253e+00
5.859375000000000000e+00,1.983858500000000058e+05,-3.272230548101568814e+01,4.717074175723522785e+03,4.842622055278905435e+00
2.929686999999999930e+00,2.012383499999999767e+05,-3.837019094046934242e+01,4.318182144338346006e+03,5.557074286087666515e+00
1.464844000000000035e+00,2.049999000000000233e+05,-4.528954876000086927e+01,3.745191049675715476e+03,6.054114529202719197e+00
7.324220000000000175e-01,2.097083999999999942e+05,-5.040510879759624174e+01,3.117028909953729908e+03,5.952130101726557321e+00
3.662110000000000087e-01,2.151722999999999884e+05,-5.136154922768913877e+01,2.756667672920731093e+03,3.810662355199072593e+00
1.831049999999999900e-01,2.206897000000000116e+05,-4.692928559224952778e+01,2.663973294487489966e+03,2.381297169209728892e+00
9.155299999999999550e-02,2.253781499999999942e+05,-3.851330793913287920e+01,2.555904067413144276e+03,1.091651983481747745e+00
4.577599999999999725e-02,2.293697500000000000e+05,-2.963220004035972721e+01,2.583244869094266051e+03,1.949271549892259037e+00
2.288799999999999862e-02,2.327412000000000116e+05,-2.188991947851288344e+01,1.860147142538152139e+03,2.347826227670532173e+00
1.144399999999999931e-02,2.356430999999999767e+05,-1.749518042199116508e+01,1.451480245492733729e+03,1.735055769372745749e+00
