R0, m1, m2, log_tau1, log_tau2, c1, c2
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000291536920106861e+00,1.266914246098277685e-01,9.869507127170616956e-01,-7.353337177092761356e-01,-5.674814982007591269e+00,5.409597916985846577e-01,4.863414925349350826e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.000688231517965043e+00,1.257772559939354662e-01,9.892339748443957914e-01,-7.086875735435536061e-01,-5.639585484283371919e+00,5.492808454348796499e-01,4.927026355499044552e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
1.002594931540290668e+00,1.306329896264673274e-01,9.901037806979832157e-01,-7.386265274851879781e-01,-5.653747519849363634e+00,5.317897464804687280e-01,5.018245020694284131e-01
